"Cuál es la motivación del caballero en Mitchell, Sons & Candy para negarse revelar más datos al principio?",Protección de confidencialidad de los clientes.,Etiqueta Profesional
Quien le entregó dirección al Dr. Seward a Jonathan Harker?,Conde Drácula.,Entrega de informacion
En que momento Jonathan Harker comenta sobre descubrimientos en su diario para compartirles con otros?,Despues de cena y de un pequeño intermedio musical.,Diario y comparticion de hallazgos
Quién rechazó a Van Helsing para recibir al doctor Seward?,Renfield.,Rechazo de Van Helsing
A quien se dirigen las observaciones de Renfield sobre el destino?,"Superiormente a los mortales, personajes como Malvolio o antiguos.",Metafora Renfield sobre su papel
Quién comparó su posición intelectualmente con Enoch?,Renfield.,Metáfora Renfield sobre su papel y inteligencia
"Cuál es el estado mental de Renfield al hablar de consumir vida como Dios?,",Locura pero astuta.,Estado de mente en conversación sobre consumir vida
Quien es Renfield en el relato de Drácula?,Un paciente mental que tiene interés especial por ingerir animales vivos.,Personaje
Donde se encuentra a Renfield durante estas escenas?,En su habitación del manicomio.,Lugar
Qué le pregunta Seward al iniciar la conversación con Renfield acerca de los espíritus?,"¿Qué me dice de las almas?, refiriéndose a sus propias opiniones.",Pregunta sobre Creencias
Que tipo de animales consume exageradamente Renfield en la historia?,"Ratas, ratones y otros insectívoros.",Animales Consumidos
"Cuando Seward recuerda el comportamiento repentino de Renfield ante un determinado tópico, ¿qué palabra coincide con su pensamiento?",Almas.,Palabra Suscitada Reacción
Que evento desencadena la investigación sobre el conde Drácula?,La preocupación por Lucy tras conocer al misterioso Conde.,Estímulo para Investigación
¿Qué es el rol de Jonathan Harker dentro de este grupo de investigadores?,El recolector de informaciones y observador directo del comportamiento del conde Drácula.,Personaje en Investigación
En que momento se produce el accidente de Renfield según el relato de Jonathan Harker?,3 de octubre.,Fecha incidente
Que sucede con Renfield en la historia de Drácula antes del accidente mencionado por Jonathan Harker?,Renfield estaba durmiendo profundamente cuando Jonathan lo miró por las habitaciones luego de salir a investigar el conde.,Estado Renfield antes
Que comento Jonathan Harker al oír sobre el accidente de Renfield?,Debe ir a verlo inmediatamente...,Reacción ante su estado
Quien es el profesor que llega para asistir a Renfield en el incidente descrito?,Van Helsing.,Profesional médico que ayuda a Renfield
Quien operara a Renfield en el estado crítico descrito por Jonathan Harker?,Van Helsing.,Médico cirujano que practica trepanación para ayudarlo
Que experiencia describe Jonathan al comenzar operacion sobre Renfield?,La respiración de éste es estertórrea durante los primeros momentos y luego se vuelve prolongada casi hasta el punto de que le podría rasgar el pecho.,Emociones durante Operacion
Quien indica empezar la operacion sobre Renfield?,El profesor al advertir tiempo sin perder.,Decision de Operacion Comienzo
Que sueño cuenta Renfield luego de recuperarse post-operación?,"Un terrible sueño que le hizo sentir débil y temblar, así como una visión de los doctores en sus oscuros rostros observándolo.",Revelacion Sueño Renfield
Que revelacion cuenta Renfield sobre su encuentro nocturno?,Relata una figura masculina con feroz mirada y dientes brillantes quien hace cosas sin hablar palabras pero cumpliendo sus deseos.,Encuentro Nocturno Descripcion
Que animal relaciona van Helsing con las palabras de Renfield sobre susurros polilla Calavera?,La Acherontia Atropos o Polilla de la Calavera.,Animal Relacionado Palabras Renfield
"Que observaciones hace Renfield acerca de la entrada de Drácula a su cuarto?,",Cuenta como se introduce a pesar del cierre y con una mirada superior y sin mostrar su misma olor.,Entrada Dracula en Habitacion Descripcion
Cuando relata su enfrentamiento con el Conde en casa suya?,Lucy.,Personaje específico
Que acción desencadena la entrada del grupo a Lucy's room?,Forzaron la puerta abierta para entrar.,Acción especifica
Quién aparece junto a Lucy Harker al encontrarse Jonathan?,Conde Drácula.,Personaje específico
Cómo es descrito la entrada del grupo en la habitación de Lucy?,Forzaron la puerta para ingresar bruscamente.,Acción específica
Cuál es la reacción de Jonathan Harker al ver a su esposa Mina con el Conde Drácula?,Se encuentra en shock.,Emoción específica
"Quien habla las palabras '¡Sucio, sucio!' en el contexto?",Mina.,Personaje
¿Quién está extendiendo sus brazos para abrazar a Mina al final de este pasaje?,Jonathan Harker,Personaje
Quién descubre los manuscritos quemados en el estudio?,Arthur Holmwood.,Personaje
Donde se dirigió el murciélago observado por Quincey Morris?,Hacia el oeste.,Acción de Personaje
Cómo describía Mina el efecto de la droga?,"Comenzaron a aparecer una infinidad de fantasmas en su imaginación relacionados con muerte, vampiros y dolor.",Descripción de Experiencia
Que acción intenta Mina para ayudar a la medicina hacer efecto?,Forzó a dormirse.,Acción Personaje
Que sucesión de eventos describe cuando Lucy visita a Drácula por primera vez en su castillo?,"Lucy se encuentra con un monstruo con labios entreabiertos y ojos rojos, quien la somete y bebe su sangre.",Primer Encuentro
En que fecha se produce el encuentro entre Jonathan y Drácula fuera del castillo?,3 de octubre.,Fecha encuentro
Que medidas adoptan los miembros del grupo para proteger y cuidar a Mina luego del descubrimiento de sus heridas?,Deciden informarla completamente sobre su situación y no ocultar nada. Establecen una rutina donde uno de ellos se queda atento al llamado de ella mientras los demás organizan todo lo necesario para actuar.,Plan de Acción
Que palabras de consuelo le dirige van Helsing a Mina sobre no suicidesia?,"Hay alguien que estaría dispuesto a hacerlo si fuera por su bien... Pero, querida señora... Hay aquí varias personas que se levantarían entre usted y la muerte. No debe usted morir de ninguna manera...",Mensaje de Apoyo
Que estrategia propone van Helsing para derrotar al conde Drácula en el momento actual?,En ese dia es nuestro y en ellos reposan nuestras esperanzas. Primeramente encontraran todos sus refugios para esterilizarlos y luego intentar atraparlo en alguna trampa segura una vez esto haya sido desecho asegurarse que su captura y aniquilación resulten seguras,Plan de Accion
Que ejemplo cuenta Van Helsing sobre un caballero ingles para enseñarles una técnica de entrada a una casa sin alarmas?,Relata la historia de un hombre que dejó su casa cerrada durante el verano y luego un ladrón rompio una ventana trasera para ingresar e imitar normalidad hasta vender todas sus pertenencias y finalmente venderla al constructor para levantarla en su lugar.,"Metodo Alternativo"""
Quién sugiere utilizar vehículos alquilados durante sus misiones?,Jonathan Harker(Morris),Personaje proponiendo estrategia
Que medida propone Lord Godalming para prepararse ante eventualidades en el caso de ser necesario huir a caballo?,Comunicarse con su red social de amigos para obtener transporte,Preparación contra escape urgente
Que lugar es objeto de atencion para su posible refugio?,Cercanías de Piccadilly,Ubicacion del supuesto albergue del Conde Dracula
Que papeles del conde podria ayudar a Jonathan Harker debido a su estancia en Transilvania?,Indicios que interpretara debido a su conocimiento del lugar,Papeles relevantes para Jonathan
Que objeto saca efecto dramático en la frente de Mina?,Fragmento de Sagrada Hostia,Objeto que quema a Mina como si fuera metal al rojo vivo
Palabras de aliento y consuelo en 'Drácula'.,Había esperanza en sus palabras y también consuelo,Consuelo e inspiración
Promesa realizada entre miembros del grupo a Mina y el anciano.,"tomándonos de la mano, juramos ser sinceros unos con otros y pedimos ayuda y guía en la terrible tarea que nos esperaba.",Juramento
Motivos del Count Drácula para ir a Londres en 'Drácula'.,en busca de sangre fresca y para escapar de su pasado en Transilvania.,Motivación
Acto final en Carfax House.,"Mientras hablaba, sacó del bolsillo un destornillador y una llave y, muy pronto, la tapa de una de las cajas fue levantada. Fue santificada para el uso del hombre, y ahora vamos a santificarla para Dios... El profesor dijo solemnemente al salir el templo Carfax: 'Es posible que logremos tener el mismo éxito en los demás lugares'. Lo último que vi de ellos fue cuando me saludaba con la mano.",Final
Vuelven a visitar asilo donde está Mina Harker.,"miré ansiosamente, y en la ventana de nuestra habitación vi a Mina. La saludé con la mano y le dirigí un signo de asentimiento para darle a entender que nuestro trabajo allí había concluido satisfactoriamente.",Regreso al asilo
Planes futuros por parte de Godalming y Quincey una vez en Londres.,"Poco antes de que llegáramos a Fenchurch Street, lord Godalming me dijo: —Quincey y yo vamos a buscar un cerrajero.",Nueva misión en la ciudad
Ubicación donde esperan a otros miembros antes de ingresar en casa de Drácula.,"nos sentamos en un banco, a la vista de la casa y comenzamos a fumar unos cigarros puros.",Espera fuera del objetivo
Llegada de Godalming y Morris con ayuda para abrir puerta,"Finalmente, vimos un coche de cuatro ruedas que se detenía cerca",Nuevos refuerzos llegan
Donde encontraron los miembros del grupo a Jonathan Harker la caja que faltaba en Transilvania?,Patio cercado con muros de piedra y caballerizas encaladas.,Lugar
En el comedor de la casa del Conde Drácula hallaron cuantos de los diez cajones?,Ocho.,Cuenta encontrada
Como se describió al Conde Drácula tras enfrentarse a la cruzada contra él por parte de los miembros del grupo?,anciano macilento y enjuto con cabello blanco adaptándose bien a sus ojos brillantes hundidos en cuencas.,Descripción física posterior
Cuál era el objetivo del profesor al mantener ocupadas las mentes de los miembros del grupo esperando a lord Godalming y Quincey Morris?,Evitar su abrumamiento por tristeza.,Motivación psicológica del Profesor
Quién visita a los vampirologos en este momento de 'Drácula'?,lord Arthur y Quincey Morris.,Personajes entrantes
Cuanto tiempo llevan esperando antes de la llegada del vampiro según van Helsing?,Un buen rato después de las 1:20.,Tiempo espera antes de sol nace
Cuando esperan a que aparezca el vampiro según van Helsing?,Entre las 4:00 a la puerta de la casa.,Horario espera sol nace
Cual es el ultimo mensaje del conde Dracula a los personajes antes de huir?,Tienen tiempo para comprender su destino en sus manos y como las mujeres que aman son susya.,Despedida del vampiro
Que acciones realizaron Van Helsing y Arthur tras retirarse de las caballerizas sin encontrar al Conde Drácula?,Regresaron a la casa de Arthur para prepararse su siguiente movida junto a otros miembros del grupo mientras consolaban a la Señora Harker.,Plan de Acción
Cómo se comporta Mina Harker al enterarse por primera vez sobre el día de Jonathan en las propiedades del Conde Drácula?,Muestra valentía y calmamiento a pesar de la situación grave.,Actitud Frente Al Peligro
En qué momento Jonathan Harker registra sus pensamientos sobre el siguiente paso del grupo frente al misterio de Drácula?,Al finalizar la reunión donde se discutió la situación después de los eventos sucedidos.,Plan de Acción Futuro
Quien despertó a Jonathan Harker durante la noche en el cuento?,Mina.,Personaje
Que sucede cuando Jonathan intenta dormirse nuevamente después de ser despertado por Mina?,Escribió sus pensamientos para tratar de relajarse.,Acción de Jonathan
Quién pide que se busque al profesor durante la madrugada en este extracto?,Mina.,Personaje solicitante
En este fragmento quién desea ser hipnotizado por el profesor van Helsing?,Mina.,Personaje solicitante hipnotismo
Cómo se ve a Mina durante la sesión de hipnotismo?,"Absolutamente inmóvil, con ojos cerrados y respiración visible.",Descripción de Mina en estado hipnótico
Donde se encuentra Mina según su estado hipnótico?,"Un lugar desconocido con ruido de agua, pequeñas olas y hombres corriendo cerca.",Lugar imaginar por Mina durante hipnotismo
Quien habla la frase 'Adelante! Como diría nuestro amigo Arthur...'?,El profesor van Helsing.,Personaje que hace esta afirmación filosófica en el contexto
Que motivo hace que el vampiro regrese a Transilvania?,"Se dirige directamente a su último recurso..., a su última obra terrestre y busca refugio en la tumba de Lucy que creía similar a él, sin embargo no tenía tiempo para llegar antes de puesta del sol.",Motivacion vampiro
En cual lugar se encuentra el vampiro durante la narración?,Ha regresado a su castillo en Transilvania.,Ubicacion vampiro
Quien envía mensaje al Dr. Seward para quedarse con Mina Harker?,Van HelSING.,Remitente mensaje 
En que lugar van los personajes a buscar informacion del barco de Dracula?,Describen los pasos tomados para averiguar sobre el barco y rumbo que siguió el conde Drácula al huir.,Busqueda barco vampiro
Quién está presente en la reunión donde se comunican los hallazgos de la investigación?,"El profesor Van Helsing, lord Godalming, el doctor Seward, el señor Quincey Morris, Jonathan Harker y Mina Harker.",Integrantes reunion investigacion
Que informacion obtienen sobre el barco utilizado por Dracula?,"Descubren que el Czarina Catherine es el buque con destino al Mar Negro que partió aprovechando las mareas. El mismo fue apresuradamente contratado por un hombre alto, delgado y pálido con apariencia misteriosa.",Barco Dracula
En dónde localizan a quienes les pueden proporcionar información sobre el barco?,Vienen a Lloyd's donde se mantiene registro de todos los barcos pequeños aunque no aparezcan en el Times.,Localización informacion barco
Quien intercambia malas palabras con alto hombre delgado sobre la posicion de su caja?,Capitan.,Personaje
Que barco es el objetivo del hombre alto delgado para transportar la caja?,Czarina Catherine,Barco referencia
En que situacion se presenta nuevamente el hombre alto delgado al capitán después de la pleamar?,Después de que el barco estuvo cubierto por densa niebla.,Tiempo de Aparecimiento
A quien van dirigirse tras abandonar el barco Czarina Catherine para cazar a Conde Drácula?,Doctor Van Helsing y compañía.,Personajes en acción
A que se compara el comportamiento del Conde Drácula con respecto a sus enemigos?,Un Devorador de hombres o Tigre.,Metáfora
Quien habla en la frase 'Siento una maravillosa paz y descanso esta noche...'?,Mina Harker en el diario de doctor Seward.,Personaje
"Cuando se reúnen para discutir su próxima acción ¿quién habla sobre la necesidad de mantener alentado al grupo?,",John Seward.,Personaje
Cuando planean salir como fecha límite?,El día diecisiete.,Fecha Salida
En qué lugar estarán antes que el encuentro de Catherine Czarina?,Varna.,Anterior Lugar Encuentro
Quien sugiere traer Winchester?,Quincey Morris.,Personaje Armas
Cuál es la opinión de van Helsing sobre los Winchester?,Los Winchesters son muy convenientes para la caza.,van Helsing Sobre Armas
¿Quién se mantiene apartado del conocimiento de los planes debido al consejo de Van Helsing?,Harker.,Personaje Guardando Secreto
Qué promesa pide Mina a Jonathan?,Promesa de mantener su secreto sobre planes contra Drácula.,Mina y Secreto
Cuándo se realiza la promesa de Jonathan con gesto solemne?,Inmediatamente después de que Mina explica sus deseos.,Gestión Promesa
"Quién propone acompañar al grupo en su viaje?,",Mina.,Personaje Propone Viajar
Por qué seguridad Mina se refiere cuando pide ir con ellos?,Se refiere a estar más protegida por los hombres que la rodean.,Seguridad Mina
Que opinión expresa el Sr. Morris sobre la espera de una oportunidad?,No esperara a que se presente alguna y abrirá la caja cuando vea esta para destruir al monstruo.,Oposición al Plan Profesor Van Helsing
Como actuaran van Helsing y compañía una vez tengan oportunidad segun su plan?,"Al identificar la caja con rama de rosal silvestre sobre ella, abrirían cuando estén a solas y actuarían contra el monstruo.",Acción Plan Profesor Van Helsing
Quién mantiene el registro sobre los acontecimientos después del estado de Jonathan Harker?,Doctor Seward.,Tomador del Diario
Quienes reciben promesa de ayuda por parte de la señora Harker?,Todo el grupo incluyendo a su esposo Jonathan.,Destinatarios Promesa
Quién jura fidelidad a Mina después de sus declaraciones?,"Lucas sombrisando Van Helsing, luego lord Godalming.",Promesa tomada
Quien recuerda su acción sobre la muerte de Lucy Westenra?,Doctor van Helsing en relación con Lucy.,Recuerdo Histórico
A qué advertencia les hace referencia Mrs. Harker antes de que se rompa el momento emocional?,De que aparecería la mujer vampiro rápidamente y contra ellos.,Advertencia
Desde qué lugar Jonathan Harker envía su último registro?,Varna.,Ubicación Actualidad
Cuándo llega el grupo a la ciudad de Varna?,Aproximadamente a las cinco del día 15 de octubre.,Arrivo Fecha Especifica
¿Qué actividad lleva a cabo Lord Godalming al llegar a su destino?,Se dirige al consulado para revisar posibles mensajes pendientes,Acción Inmediata
Desde cuál ciudad Jonathan Harker envía un registro después de llegar a Europa?,París.,Llegada Europa Ciudad
Cuando el grupo llega a Varna hacia qué fecha aproximada se encuentra el barco Czarina Catherine en camino?,Apenas recién saliendo del mar.,Barco Etapa Fecha Relación
Qué acciones planean hacer si encuentran al conde Drácula en su habitación?,Van Helsing y el doctor Seward cortarían la cabeza del conde y atravesarían el corazón con una estaca.,Acción contra vampiro
Quién recibió telegrama sobre avistamiento de Czarina Catherine?,lord Godalming.,Personaje telegrama recibido
En cuanto acontecimiento se espera Czarina Catherine en texto?,Los Dardanelos.,Lugar esperado
Qué opinan Van Helsing y Seward sobre el estado de Mrs Harker?,Se preocupan ya que veen un cierto letargo en ella que no les gusta aunque mantienen secreto.,Estado de Personaje
Qué información recibe telegrama sobre el barco Czarina Catherine?,El barco entró en Galatz hoy a la una.,Información sobre barco esperado
Cuanto tiempo tiene que transcurrir antes de llegada del siguiente tren a Galatz según la novela Drácula?,Mañana a las seis y media.,Tiempo
Causa por la cual van Helsing y John creen que la esposa de Jonathan puede ser importante contra el Conde Drácula?,Porque está libre de influencia de Drácula y podría utilizarse su mente entrenada para combatirlo.,Importancia
"En la perspectiva del profesor van Helsing sobre la psicología criminal, qué característica posee el verdadero criminal?",Funciona predestinado para cometer un solo crimen específico y carece de cerebro completo como lo tiene un ser humano maduro.,Caracteristicas del Criminal
Cual es el tipo psicologico del Conde Dracula segun la madre Harker en su conversacion con Van Helsing?,Un criminal cuyo cerebro está imperfectamente formado que se refugia en hábitos cuando enfrenta dificultades.,Perfil Psicológico
Que experiencia describe Mrs Harker al hablar sobre el pasado del Conde Dracula?,En una ocasión anterior el Conde regreso a su propio pais tras ser derrotado en un conflicto extranjero y luego volvió mejor preparado para realizar nuevos ataques. Como lo hace en Londres cuando es derrotado de vuelta.,Pasado
Que compara Van Helsing entre Mrs Harker y una persona sabia y brillante?,Es una mujer extraordinariamente inteligente.,Comparacion Elogiosa
Que consideracion hace Van Helsing acerca del Conde Dracula y su egoismo?,Es un criminal cuyo cerebro está imperfectamente formado que solo se limita a un fin propio sin remordimientos.,Percepción de Van Helsing
A qué lugar viajan miembros del grupo al conocer retardo en llegada a Bucarest?,Galatz.,Destino
Quienes realizan la sesión hipnótica para obtener información sobre el Conde Drácula?,Van Helsing y otros miembros del grupo incluyendo a la señora Harker.,Personas sesión hipnótica
Quienes se reunieron para hablar sobre las acciones a seguir tras el retraso en Bucarest?,"El grupo integrado por Jonathan Harker, Van Helsing y Seward.",Integrantes reunión
Cómo llega el grupo a bordo del barco Czarina Catherine?,Se les da cortesía por parte de agentes de Hapgood y son llevados directamente.,Llegada al barco
Quién recibió la caja con destinatario 'conde Drácula' en el lugar llamado Galatz?,Un hombre llamado Immanuel Hildesheim.,Personaje intermedio
Cual era ocupación de Immanuel Hildesheim?,Trabajador que manejaba envíos y recibidos para evitar pasar por aduanas.,Ocupación
A quien entregó Hildesheim la gran caja marcada para el 'conde Drácula'?,Un comerciante llamado Petrof Skinsky.,Entregatario de la caja
Donde se encontró el cuerpo de Petrof Skinsky?,En el cementerio de San Pedro.,Lugar del hallazgo del cadáver
Que tipo de daño tenía la garganta de Skinsky?,Destrozada como si fuera obra de algún animal salvaje.,Descripción de lesión en el cadáver
Que tipo de investigación está planeando Mina sobre el conde Drácula?,Realizar una encuesta basada en razonamiento por eliminación para averiguar cómo podría ser transportado a su origen.,Investigación por parte de Mina
Cuál es el mayor problema para que el conde Drácula viaje por carretera?,La posibilidad de ser detectado debido al aumento en la gente y puntos de control.,Características del transporte por tierra como obstáculo
Cuál es el método más peligroso pero seguro para llegar a su origen que evalúa Mina?,El viaje por agua.,Metodo evaluado como peligrosamente seguro por Mina en su estudio
Quién es Petrof Skinsky en contexto de Drácula?,Individuo que según el diario de Jonathan Harker traficaba con eslovacos comerciante por río hasta el puerto Galatz.,Personaje
Para qué fin recibió Conde Drácula la caja antes del sol en Hildesheim?,Llevar instrucciones a Skinsky sobre cómo continuar su viaje con la carga.,Objeto de la Caja y su Entrega
Qué lugar sirvió como punto intermedio para el transporte del contenedor desde Transilvania hasta Londres en Drácula?,Barco que zarpó hacia Galatz tras llegada del Conde.,Transbordo Mediante Barco
Que ríos pueden encajar como vía de transporte para la caja del Conde Drácula en 'Drácula'?,Sereth o Pruth.,Rios Potenciales
Una desventaja del viaje fluvial para el Conde Drácula?,No puede abandonar su caja sin provocar sospechas y arriesgarse a ser lanzado al agua.,Desventaja Viaje Fluvial
Quién liderará el grupo para perseguir al Conde Drácula en agua según el plan?,Jonathan Harker acompañado de lord Godalming en una lancha de vapor.,Persecución Fluvial por Agua
Qué misión tendrá Abraham van Helsing para enfrentar al Conde Drácula?,Llevar a Mina al lugar cercano al castillo del vampiro para explotar su hipnotismo.,Misión de Van Helsing
Quienes son los hombres valientes mencionados en el relato de Jonathan Harker?,"Los médicos especialistas en 'Drácula', incluyendo a Van Helsing y el doctor Seward junto con otros ayudantes.",Miembros del grupo para combatir al Conde Drácula
Que objetivos tienen estos hombres valientes durante su expedición?,"Organizar equipamiento adecuado, conseguir mapas detallados, dinero y transporte hasta el lugar necesario para enfrentarse al conde Drácula.",Estrategias en la lucha contra Drácula
En que lugar empieza el viaje en barco con Jonathan Harker?,Tiene inicio en un punto junto al río Sereth y el Bistritza.,Inicio del viaje en agua para combatir a Drácula
Quienes son los miembros de la expedición en embarcación para combatir a Drácula?,"El grupo consta de lord Godalming, el doctor van Helsing junto con Jonathan Harker.",Integrantes del equipo embarcado contra el Conde Drácula
Donde encuentran a Drácula doctor Seward grupo luego de seguir sus pistas?,En Fundu conocen el paradero de la lancha.,Lugar descubierto
Como pasan los días Jonathan Harker y su grupo mientras buscan a Count Dracula?,Galopando sin tiempo para escribir. Dedican todos sus esfuerzos en el seguimiento.,Actividad durante persecución
Quien regresa con una calesa y caballos para grupo de Jonathan Harker?,Profesor Abraham van Helsing.,Personaje que actua
Durante el viaje por las montañas de Transilvania a que paisaje lo describen los integrantes del grupo de Harker?,"Un paisaje encantador, lleno de bellezas de todos los tipos imaginables.",Descripción del entorno
En qué fecha el grupo de Jonathan Harker recibe noticias del paradero del conde Drácula?,En Fundu conocen el paradero de la lancha el 3 de noviembre.,Fecha descubrimiento sobre Conde Dracula posición
Qué señal encontró Mina sobre el camino hacia Drácula?,Cámara llena de velas y un hombre sentado.,Signo en Viaje
Comienza la hipnosis fallida en la novela?,A medianoche del mismo día que Mina perdió su apetito y pareció afectada mentalmente.,Hipnotismo Comienzo Fallido
Descubre Jonathan cuando intenta despertar a Mina pero falla,Está cansado y no quiere dañarla considerando lo que ha sufrido.,Despertar Fallido Motivo
Como reacciona la señora Mina después de su primer descanso durante el viaje?,Se ve muy vivaz y radiante como siempre.,Reactivación Pos Descanse 1ª Parte
Cuando Jonathan comienza a preocuparse sobre la seguridad de Mina,Al llegar al castillo que señaló Jonathan en su diario.,Castillo Concernios Seguridad Mina
Qué actividad realiza el Doctor Van Helsing con relación a Mina cuando están cerca del Castillo Drácula,Hace un círculo de protección con la Hostia sagrada para cubrirla.,Circulo Hostias Seguridad Mina
Que pasa cuando Laura intenta arrojarse al fuego en el libro?,"Se levanta pero se detiene inmovilizada luego de dar un paso, después regresa a su sitio. Cuando le preguntan por qué no continúa responde 'No puedo'. Jonathan se alegró al saber que si ella no podía pasar ningún vampiro tampoco lo haría.",Acción y Respuesta
Que escena transcurre cuando Laura oye las voces de las tres mujeres que le besaron a Jonathan en la noche fría?,"Las imágenes giran hasta materializarse como seres reales. Las mismas tres mujeres aparecen ante ella con sus expresiones ríennes y seductores, invitándolas a unirse con ellas pero estando protegidas dentro del círculo.",Situación sobrenatural
Que experiencia ocurrida el 5 de noviembre pasa con los lobos y los cingaros?,"Los lobos se mueven cerca del grupo mientras las tribus de cíngaros huyen del río hacia sus carretas bajo una atmósfera tensa. Los exploradores creen que el peligro proviene de todos lados, incluyendo a los lobos que están bajando de montañas debido a la nieve.",Encuentros y Ambiente
Quien descubrió y enfrentó las tumbas de las hermanas vampiro en este texto?,van Helsing.,Protagonista acción
Que tipo de fascinación siente van Helsing al encontrarse con la primera mujer vampiro?,Fascinación debido a su belleza pese a la situación.,Emoción extraña
En que tumba descubrieron van Helsing las hermanas vampiro?,Capilla.,Lugar encuentro vampiros
Que palabra encontraron grabada en la tumba más señorial de ellos?,DRÁCULA.,Nombre vampiro jefe
Cuando salen del castillo Drácula hacia el encuentro con los otros personajes Mina habla sobre quien está en camino?,Jonathan.,Esperada persona llegando
Descripción de la situación del grupo en medio de la nieve en el libro Drácula?,"Protagonistas están en una altura observando un vasto territorio cubierto en blanco por la caída continua de la nieve. En medio de la tormenta, pueden ver lejanamente a unos hombres a caballo llevando una carreta sobre una ruta próxima.",Situación
Que pasa con el corazón de Mina cuando ve el grupo de hombres desde una altura?,Corazón comienza a latir fuerte al percibir la posibilidad que se encuentra cerca el contenido de la caja en la carreta y es capaz de escapar.,Emoción
Que menciona profesor en cuanto a llegada posible demasiado tarde?,Refiriéndose a las crepusculares horas del día cuando los viajeros podrían encontrarse con la amenaza que cercan.,Pregunto por peligro
Que situación visual tienen Mina y profesor en este momento de 'Drácula'?,Están montados en una roca alto observando lejos el terreno cubierto por la nieve y varios grupos de viajeros acercándose entre ellos dos hombres que Mina reconoce como Jonathan y Lord Godalming.,Situación visual
Qué estrategia preparan Mina e professor para enfrentar la amenaza que se aproxima en el libro?,Disponen de sus armas (anteojos para observar claridad y Winchester y revólver para protegerse) mientras esperan por las acciones del enemigo.,Defensa preparada
Cuál es la situación crítica de 'Drácula' donde Mina y profesor se encuentran defendiendo a sus amigos contra gitanos armados?,"Mina y el profesor están detrás de las rocas preparados para disparar con sus armas al líder de los gitanos y su grupo que amenazan la seguridad de Jonathan, Lord Godalming y otros amigos quienes tratan por proteger una carreta.",Defensa en acción
Cuando ocurre la muerte de Conde Drácula en el relato de Jonathan Harker?,Un momento antes de que su cuerpo se disuelve en polvo.,Muerte
Cómo muere Quincey Morris en el texto?,Con una herida de bala en el corazón y al mismo tiempo Jonathan Harker corta la garganta del Conde Drácula con su cuchillo.,Muerte de Quincey Morris
En qué parte del libro aparece el indice?,"Al final del relato de Bram Stoker 'Drácula', como prólogo a las distintas entradas escritas por diversos personajes.",Indice
Capitulo donde comienza el diario de Doctor Seward en 'Drácula'?,XXI.,Capítulo
En que parte del libro aparece el relato del viaje de Jonathan Harker de nuevo?,XXII.,Capítulo
Desde cual capitulo resumen los registros del doctor Seward por Van Helsing?,XXIV.,Capítulos
