Pregunta,Respuesta,Etiqueta
"Qué razones tiene van Helsing para permanecer en el cementerio esa noche?","Van Helsing cree que la señorita Lucy puede intentar salir, así que está dispuesto a vigilarla y estar listo para actuar rápidamente si se presenta. Además, cree que puede llamar a su lobo, por lo que estará allí preparado para defenderse.","Defensa/Vigilancia"
"Qué duda tiene el Dr. Seward respecto al plan de van Helsing?","El Dr. Seward se pregunta si no han perdido el juicio, especialmente al creer que van Helsing puede haber matado a la señorita Lucy y enterrarla vivos para acabar con ella una vez por todas.","Duda"
"¿Qué nueva información da van Helsing a Arthur y Quincey?","Van Helsing pide la ayuda de Arthur y Quincey para hacer algo grave en Transilvania. Él le pregunta a este último si se siente molesto por las misteriosas cosas que están sucediendo en la casa de Godalming, y le muestra un signo que no le agrada y revela lo que hay a cargo.","Nuevas informaciones"
"Qué estado mental está Jonathan Harker al inicio del texto?","Está confundido y desorientado debido a su viaje a Transilvania.","Estado de ánimo/Jonathan Harker"
"Qué información da el Profesor al grupo sobre los otros miembros del Club Literario?","El Profesar les informa que John Seward está siendo tratado para la mordedura sufrida durante el desastre del castillo, y que Arthur Holmwood está casado con Lucy Westenra. Quincey Morris se encuentra bien.","Otras partes"
"¿Qué reaccionan los amigos al pedido que hace van Helsing?","Los amigos están sorprendidos y molestos por las intenciones de van Helsing, pero apoyan su honor y su fe como cristiano.","Amigos/Reacciones"
"Qué se propone hacer van Helsing con sus amigos al cementerio?","van Helsing y sus amigos van a intentar detener la transformación de Lucy.","Motivo/van Helsing"
"Qué se está sucediendo con Lucy?","Lucy ha muerto pero sus amigos buscan evitar que el Conde Drácula la transforme en vampiro.","Situación Lucy"
"¿Qué significa 'muerta viva'?","Es una expresión que se refiere a la forma en que Lucy está: no está muerta completamente, y puede verse viviendo, pero realmente ha muerto.","Muerte/Lucy"
"Qué tiene en mente van Helsing al hablar sobre sus 'deberes'?","van Helsing cree que es su deber proteger a los demás, a Arthur y a Lucy, contra la transformación de Drácula.","Motivo/van Helsing"
"¿Qué se refiere Jonathan Harker al 'trabajo' aplicado en la primera frase y cuál es su motivación para irse?","La frase 'lo que creo que es justo' refiere al compromiso de Jonathan Harker con su amigo John, mientras que el 'trabajo' se refiere a los malos recuerdos y la tristeza causadas por las acciones del Conde Drácula.","Compromiso/Motivación"
"¿De dónde surgen Jonathan y Arthur para ir al cementerio de la iglesia?","Jonathan Harker y Arthur Holmwood salen del castillo de Drácula para ir al cementerio para encontrarse con Van Helsing y Mina, el amor platónico de Jonathan.","Salida"
"¿Qué está sufriendo Arthur al presenciar el ataúd de Lucy?","Arthur se enfrenta a las consecuencias de la muerte de Lucy y se enfrenta a sus propias sentimientos de culpa y tristeza.","Sentimientos/Emoción"
"¿Qué descubre Arthur al ver el ataúd de Lucy?","Arthur es testigo de lo que queda del cuerpo de Lucy. La ausencia de Lucy en su féretro lleva a una serie de reacciones en la cual se enfrentan los sentimientos de culpa, tristeza y confusión entre todos.","Descubre"
"¿Qué ha encontrado Quincey Morris en el cementerio de la iglesia antes del ataque?","Quincey Morris encuentra un niño indemne entre las tumbas y cree que está salvando a otro. Más tarde, cuando no encuentra ninguna señal de él, decide que tal vez los 'no muertos' no pueden soportar el ajo que había colocado en las puertas del cementerio.","Encontró"
"Qué observaciones hacen Jonathan Harker y Arthur Holmwood al salir del cementerio?","Jonathan Harker y Arthur Holmwood respitan en el aire fresco y tranquilo del paisaje después de la angustia del encuentro con la ausencia de Lucy, y están llenos de una sensación de alegría y tristeza.","Silencio"
"Qué estado de ánimo mantienen los personajes al final del capítulo?","Los personajes se ven tranquilos y aceptadores de la conclusión que van Helsing ha sacado sobre el origen de las amenazas.","Estado de ánimo"
"Qué objetos utiliza van Helsing en el proceso de sellar los orificios de su casa?","van Helsing utiliza una oblea y una sustancia blanca que parecen un bizcocho o masa.","Objetos/Herramientas"
"¿Qué están los personajes haciendo en este pasaje?","Los personajes están cerrando la tumba de Lucy para impedir que la "muerta viva" la reanime.", "Tarea/Actividad"
"¿Qué recurso utilizan para sellar la tumba?","van Helsing utiliza la Hostia como medio de sellado.", "Recurso/Medios"
"Cómo se describe el entorno de la tumba?","Se describe una atmósfera sombría y amenazadora, con árboles que parecen encarnar el espíritu funerario.", "Descripción/Entorno"
"¿Qué instrucción le da van Helsing a los otros para mantener la vigilancia?","van Helsing ordena un silencio total y hace gestos de guardia.", "Instrucciones"
"Qué figura aparece en el pasaje?","Se describe una figura blanca, llevando a un niño, que resulta ser Arthur.", "Presencia de una figura"
"Qué cambio ha sufrido Lucy en este pasaje?","Se describe que Lucy está muerta pero, al verse, sus labios están rojos, llenos de sangre y hay chorros de esta por el mentón.", "Cambio de Lucy"
"Qué descripción se da de Lucy en este pasaje?","Lucy aparece como una criatura muerta pero, al verla, sus ojos son los de Lucy pero con un resplandor demoníaco y su rostro arruga en una sonrisa voluptuosa.", "Descripción/Transformación"
"¿Qué sucede entre Lucy y Arthur?","Lucy se acerca a Arthur con una voz dulce y seductora; sin embargo, Van Helsing interviene para protegerlo con el símbolo cristiano del crucifijo.","Seduccion/Proteccion"
"Qué descripción hace Stoker del Conde Drácula?","Stoker describe al Conde Drácula como una figura con un rostro lleno de maldad y terror: su color hermoso desapareció, sus ojos ardían con chispas infernales y su boca estaba manchada de sangre.","Descripcion del Conde Drácula"
"¿Qué reaccionan los personajes ante la presencia del Conde Drácula?","Los personajes, horrorizados y confundidos, observan a Lucy se transformar en el vampiro. Van Helsing retira el símbolo sagrado que había puesto en las grietas para detenerla, pero todos están terrorizados al verla así.","Reaccion ante la presencia del Conde Drácula"
"Qué sucede después de que Lucy se transforma en vampiro?","Después de la transformación de Lucy, los personajes abandonan la cripta y regresan a casa para descansar. El profesor decide volver al cementerio al día siguiente para realizar otras acciones, pero no revela cuáles.","Sucesos despues de que Lucy se transforma"
"Qué motivaciones tiene Van Helsing para combatir al Conde Drácula?","Van Helsing quiere detener el mal que ha causado el Conde Drácula desde que llegó a Inglaterra. También está preocupado por las seguras de sus amigos y la gente que ama, incluido Arthur, quien también ha quedado bajo influencia del vampiro.","Motivacion de Van Helsing"
"Qué pasa en la cripta al día siguiente?","Los personajes regresan a la cripta al día siguiente y Van Helsing abre el ataúd de Lucy. La escena que ven es repulsiva: Lucy, sin vida, acostada en el féretro, pero no sentían ninguna sensación positiva hacia ella, solo una fuerte repugnancia.","Escena al dia siguiente"
"Qué información obtiene Jonathan Harker sobre el cuerpo de Lucy Westenra?","Jonathan Harker se da cuenta de que no es el cadáver de Lucy sino una entidad demoníaca y pregunta a van Helsing si este realmente es su cuerpo. Van Helsing confirma, pero asegura que la reanimará y hará que vuelva a ser como era, aunque esta transformación provoca gran horror para todos presentes.","Reanimación/Identificación"
"Qué elementos van Helsing utiliza en la ceremonia de reanimación del cadáver?","Van Helsing prepara una serie de objetos como un cautín de soldar, una barrita de estaño y una lamparita de aceite para realizar la reanimación del cuerpo de Lucy. También utiliza bisturíes y una estaca redonda.","Preparativos/Objetos"
"Qué consejo da van Helsing sobre el estado de Lucy?","Van Helsing explica que la reanimación del cuerpo implicará su inmortalidad y el crecimiento de los "muertos vivos"; Arthur podría haberse convertido en uno, ya sea al haberlo besado o abrido los brazos a Lucy antes de que muriera.","Riesgo/Creación"
"Qué opción recomienda van Helsing para evitar que Lucy se convierta en un "muerto vivo"?","Van Helsing cree que si la entidad debe morir verdaderamente, el proceso terminará, liberando a su alma del terrible destino. La decisión de quien dará este golpe y su alegría personal son motivo para pensarlo con calma en la noche.","Muerte/Liberación"
"Qué decisión toma Arthur y hacia qué fin?","Arthur decide ayudar a matar al "muerto vivo" Lucy como la mano que más quiere y en nombre de todos presentes. Éste acto es una prueba terrible pero lleva a una gran alegría y al fin, a la liberación de su alma.", "Decisión/Finalidad"
"Qué ordena van Helsing al grupo?","Van Helsing prepara la oración fúnebre para la ceremonia de reanimación. Él lee el libro mientras Arthur golpea con una estaka en el corazón del cadáver.", "Orden/Ceremonia"
"¿Qué se encuentra en el féretro?","En el féretro se encontraba un cadáver que debía ser el Conde Drácula.","Cadáver/Féretro"
"¿Qué hace Arthur para sosegarnos a la criatura?","Arthur sigue haciendo penetrar su estaca a la criatura, al tiempo que intenta calmarlo y asegurarse de que no se escapa.","Sobreguardar/Calmar"
"¿Qué ha terminado Arthur de hacer?","Arthur ha acabado de matar al vampiro con un martillo.","Matar/Vampiro"
"¿Cómo reaccionamos después de terminar la obra horrible?","Después de terminar el asesinato, nos encontramos totalmente ensimismados en el suelo junto a Arthur. Cuando lo miramos, era una persona diferente y se le veía ilusionado con un brillo extraño en su rostro, que reemplazaba a la expresión horrorizada que tenía antes.","Reacción/Arthur"
"¿Qué sentimientos nos encontramos después de terminar con el vampiro Drácula?","Sentimos una sensación de tranquilidad y calma como si estuviéramos viendo la luz del sol sobre el rostro de Lucy muerta, que representaba una símbolo de tranquilidad para todos.","Tranquilidad/Vampiro"
"¿Qué le dice Van Helsing a Arthur?","Van Helsing pregunta si Arthur lo ha perdonado tras la matanza de Drácula.","Perdón/Arthur"
"¿Qué le permite Van Helsing a Arthur hacer después del asesinato?","Van Helsing le permite a Arthur besar a Lucy, pues ya no es una serpiente envenenada para él.","Beso/Lucy"
"¿Cómo termina el libro de Drácula?","Arthur y Van Helsing salen de la cripta con la estaca clavada en el cadáver de Drácula, luego van cortando su cabeza y rellenan el féretro con ajo. Finalmente, sellan la caja herméticamente y abandonan la iglesia.","Final/Libro"
"¿Qué proclama van Helsing antes de abandonar la cripta con Arthur y Quincey?","Van Helsing declara que habían concluido una etapa de su trabajo difícil pero promete seguir adelante para descubrir a quien está detrás de las matanzas y vencerlo.","Trabajo/van Helsing"
"¿Qué sentimientos expresan Arthur, Quincey y Van Helsing antes de abandonar la cripta?","Expresan una sensación de alegría, pero su gozo no es intenso ni agrio. Ellos están seguros de que han realizado un trabajo correcto.", "Sentimientos/Arthur/Quincey/van Helsing"
"¿Qué tarea les espera ahora Arthur, Quincey y Van Helsing?","Deben reunirse con otros dos amigos para prepararse para comenzar su trabajo. El profesor también tiene que hablar con John y preparar sus planes.","Prepararse/Trabajo"
"¿Qué dijo el profesor al salir de la cripta?","Dijo a los otros que debía viajar a Ámsterdam por la noche pero regresaría para continuar su trabajo, que será terrible y necesitan estar preparados.","Profesor/Cita/Ámsterdam"
"¿Qué telegrama recibe el profesor Abraham Van Helsing?","El profesor Van Helsing recibe un telegrama de Mina Harker indicándole que ella llegará por tren y hay noticias importantes.","Telegrama recibida"
"¿Cuál es la primera información que el profesor recibe sobre Mina?","La primera información que el Profesor Van Helsing recibe sobre Mina es una copia mecanografiada de su diario y el propio diario que escribió en Whitby.","Noticias sobre Mina"
"¿Qué significa el término "muerto vivo"?","El término "muerto vivo" se refiere a Drácula, quien continúa viviendo y causando atrocidades.","Personaje/Termino"
"¿Qué sucede entre Mina y Seward al llegar?","Mina llega a Londres y se dirige hacia el domicilio de Van Helsing. Se encuentra con el Doctor Seward quien la reconoce por la descripción que le había dado Lucy. Él la lleva a su casa para descansar, pero ella prefiere ir inmediatamente a su estudio y hablarle.","Bienvenida de Mina"
"Qué descubre Mina al llegar a Londres?","Mina llega a Londres y encuentra a Seward solo en su estudio. Allí se encuentra un fonógrafo sobre la mesa que Mina reconoce por las descripciones.","Arrival en Londres/Fonógrafo"
"¿Qué descubre Mina al llegar al estudio de Seward?","Mina se sorprende al encontrar un fonógrafo en el estudio de Seward y le pregunta si está usando su diario para registrar las grabaciones. Cuando él se queda callado, Mina intenta ayudarlo a salir de una confusión aparente.","Arrival en el estudio/Fonógrafo"
"¿Qué sucede entre Mina y Seward al hablar sobre la muerte de Lucy?","Mina le pide que le cuente el último momento de Lucy pero Seward se queda callado por muchos minutos antes de declarar que no sabe lo que puede decir, dejándola confusa.","Muerte de Lucy"
"¿Qué dijo el doctor para impedir que Jonathan obtenga copia de sus anotaciones?","El Doctor Seward advirtió a Jonathan Harker que no le permitiría que copiara los detalles sobre el Conde Drácula, ya que era una 'historia terrible'.","Impide conocimiento"
"¿Qué se revela sobre el diario de Mina Murray?","El diario de Mina Murray contiene sus pensamientos y sentimientos, así como lo que ella misma copió del diario de Lucy Westenra, poniendo a cabo un vínculo entre los eventos antes y después de la muerte de Lucy.","Diario de Mina"
"Qué se revela sobre el diario de Jonathan Harker?","El diario de Jonathan Harker detalla su viaje hacia Transilvania, donde conoce al Conde Drácula y se involucra en los eventos que inician la historia de 'Drácula'.","Diario de Jonathan"
"Qué revelan las palabras de Mina sobre el diario?","Las palabras de Mina sugieren que el diario es un objeto profundamente emotivo e impactante para aquellos que lo leen, pero también se preocupa por la privacidad de quien escribió.","Reacciones"
"Qué revela Mina sobre la lucha contra el Conde Drácula?","Mina muestra su compromiso y compromisos en ayudar a librar a Londres de Drácula. Ella y Jonathan han estado trabajando continuamente desde que el profesor Van Helsing les provee de información y objetivos.","Lucha contra Drácula"
"Qué revelan las palabras de Mina sobre Lucy Westenra?","Mina señala su compromiso en ayudar a la lucha contra Drácula y compartir conocimiento entre todos para conseguir un mejor resultado. También expresa que Lucy ya ha visto mucho más que el resto y necesita saber más sobre las cosas horribles que se avecinan.","Lucha contra la oscuridad"
"Qué cuenta Mina sobre el día que oyó la historia de Lucy en el diario de Jonathan Harker?","En ese día, Mina se encuentra con el doctor Seward y lee las notas de su marido en su diario. Aunque está horrorizada por lo que escucha, no se desmaya.","Historia de Lucy"
"Qué ocurre al saber Mina la historia de Lucy?","Mina se siente horrorizada y perdida en el caos, pero consolada por saber que su querida amiga está en paz. Su cerebro es confuso y necesita escribir todo para estar listas cuando regrese Drácula.","Reacción a la historia de Lucy"
"Qué lee Mina del séptimo cilindro del fonógrafo?","Mina escribe todo lo que se oye en el séptimo cilindro del fonógrafo a fin de estar listos para informar al Doctor van Helsing cuando llegue.","Preparativas"
"¿Qué tiene Mina en mente mientras escribe?","Mina examinará los periódicos de la tarde con cuidado para encontrar alguna pista sobre el regreso del Conde Drácula. Está tranquilizada por trabajar.","Preocupaciones"
"Qué descubre Mina en el séptimo cilindro?","Mina se da cuenta de que no hay mucho que le falte para estar listas con la llegada del Doctor Van Helsing y sus compañeros. Su marido está trabajando duro en ordenar los eventos, especialmente las cartas que fueron interceptadas por Minas sirvientes.","Descubrimientos"
"Qué descubre Jonathan Harker al examinar las cartas?","Jonathan Harker descubre que la casa vecina es el refugio del Conde Drácula. Esto hubiera podido salvar a Lucy si lo hubieran sabido antes.","Descubrimientos"
"¿Qué sospecha Seward acerca de los ataques de Jonathan Harker?","Lucas Seward sospecha que las fechas y eventos en torno al conde Drácula pueden estar relacionados con los ataques de su padre.","Sospechas/Teorías"
"¿Qué revela la conversación entre Seward y Harker acerca del tema de su libertad?","Se desvelan cierta satisfacción y un estado mental cuerdo en Jonathan Harker que no había visto antes, lo que hace a Lucas Seward sospechar su libertad para irse rápidamente.","Motivación/Personaje"
"¿Qué lugar busca Seward para llevar a cabo las investigaciones?","Lucas Seward se dirige a Whitby para seguir al cargamento de Drácula hasta su residencia en Londres.","Investigación"
"Qué impresión le da Seward volver a ver las cartas del Conde Drácula?","Lucas Seward se sorprende y siente una fuerte impresión al volver a leer las notas del conde Drácula, lo que confirma su planicie.","Impresiones/Emociones"
"Qué información obtiene Seward del Señor Billington?","Lucas Seward obtiene información sobre las cartas y documentos que relacionan a la entrada del barco en el puerto.","Información/Documentos"
"Qué información recibe Seward del jefe de estación?","Lucas Seadow obtiene más detalles sobre el embarque y llegada de las cajas a Londres.","Información/Logística"
"Qué información recibe Seward de Carter Paterson?","Lucas Seward obtiene más detalles sobre las entregas de las cajas a Carfax.","Información/Logística"
"¿Qué impresión hace el viajero sobre la mansión de Carfax?","La mansión de Carfax es una casa abandonada con una capa gruesa de polvo y desorden, sin embargo, el viajero se siente cómodo sabiendo que las cajas llegadas a Whitby se encuentran en la vieja capilla.","Impresión"
"¿Cómo se describe la situación del Doctor Seward y Mina en el comienzo de este texto?","Se describe a Mina como una joven reaccionando naturalmente después del terror que había tenido del Conde Drácula, pero también muestra preocupaciones por su esposo Jonathan. Por su parte, el Doctor Seward está ansioso por la investigación de los papeles de Carfax.","Estado/Sentimientos"
"¿Qué está haciendo Mina en este pasaje?","Mina ha estado trabajando todo el día junto al doctor Seward y están ordenando los papeles de la mansión Carfax. Mientras tanto, se despega del miedo que tiene hacia el Conde Drácula y comienza a mostrar más confianza en él.","Acciones"
"¿Qué acciones realiza Mina después de enterarse de los planes que los hombres habían para Lucy?","Mina decide que los hombres necesitan saber todo lo que ella ha leído y ordenado en los papeles. Ella les da una copia de cada documento a lord Godalming, Arthur Holmwood y Quincey Morris para que puedan leerlos en la biblioteca.","Acciones"
"¿Qué conclusión llega Mina al final de esta parte del texto?","Mina concluye que los hombres necesitan saber toda la información que ella tiene sobre el Conde Drácula y Lucy. Ella decide darles una copia de cada documento para que puedan leerlos en la biblioteca.", "Conclusión"
"¿Qué consuelo da Mina al Doctor Seward?","Mina le dice que si la simpatía y la comprensión pueden ayudarlo en su dolor, ella quiere estar allí para él como una hermana.","Consuelo"
"¿Qué ocurre al llegar a Klausenburg?","Jonathan Harker se encuentra con una mujer herida en el castillo de Drácula y se emociona.","Mujer herida/Emoción"
"Qué sucede entre Jonathan Harker y esta mujer?","Jonathan Harker encuentra una mujer herida en Klausenburg y se emociona. Se les une como hermanos para consolarse y ella le agradece su compañía y consuelo, lo que este último valora profundamente.","Mujer herida/Compasión"
"¿Qué promete Jonathan Harker a la mujer?","Jonathan Harker promete que estará disponible para ella si sufre algún mal en el futuro.","Mujer herida/Promesa"
"¿Qué ocurre entre Jonathan Harker y la mujer?","Jonathan Harker se despierta junto a ella, la consuela y se besan. La mujer le agradece el consuelo y confiesa que es Lucy.", "Beso/Despertar"
"Qué ocurre al llegar a la casa?","Doctor Seward y los amigos regresan para estudiar las transcripciones del diario de Jonathan Harker. La señora Harker pide permiso para visitar a Renfield y se lo concede.", "Llegada/Estudio"
"Qué ocurre cuando Doctor Seward se reúne con Renfield?","Doctor Seward visita a Renfield y comienza a estudiar las transcripciones del diario de Jonathan Harker. Renfield le prefiere la compañía de la señora Harker sobre la de los hombres.", "Doctor Seward/Renfield"
"¿Quién es quien dice a la señora Harker que debe salir?","El Conde Drácula le ordena a la señora Harker que se marche.","Ordena salir"
"¿Qué razón da el Conde Drácula para que ella deba marcharse?","El Conde Drácula cree erróneamente que la señora Harker es Mina Murray, la esposa del doctor Seward. Por lo tanto, quiere que esta persona se marche y le permite quedar solo con él.","Motivos/Errores"
"¿Qué razón da el Conde Drácula para pensar que la señora Harker es Mina Murray?","El Conde Drácula no conoce a la señora Harker y confunde su identidad con la de Mina Murray.","Errores"
"¿Qué nuevo desarrollo sucede acerca de Renfield?","Renfield habla con razonamiento claro e imparcial sobre sus delirios, lo cual sugiere que ha encontrado alguna forma de controlar su mente.","Control/Nuevo desarrollo"
"¿Qué creencia tiene Renfield sobre la prolongación de la vida?","Renfield cree que consumiendo multitud de seres vivos es una manera de prolongar indefinidamente la vida.","Creencias/Prolongar vida"
"¿Qué pasa con Renfield al final de esta sección?","Renfield muestra una actitud agradecida y entrañable hacia la señora Harker y le pide a Dios no volver a verse.","Actitud/Despedida"
"¿Qué opinión tiene Van Helsing de Mina?","Van Helsing elogia a Mina por tener un cerebro de hombre bien dotado y un corazón de mujer. Considera que es una combinación excelente, y decide que ella no debería verse involucrada más en este terrible asunto.", "Opinión/Mina"
"Qué revelación despertó en el profesor Quincey Harker sobre las intenciones del Conde Drácula?","La revelación de que la casa adquirida por el Conde Drácula era la contigua a la de los Harker, lo sorprendió profundamente.","Descubre plan del villano"
"¿Qué papel le muestra la señora Harker al Drácula y para qué fin?","La señora Harker muestra a los hombres un informe sobre el curso del día en su diario privado para que puedan decidir si incluyerlo o no en las investigaciones contra el Conde Drácula.","Documento privado"
"¿Qué papel no desea incluir la señora Harker en el registro de investigaciones?","La nota personal escrita por ella para sus amigos y esposo sobre las cosas que ha vivido y descubierto durante el día.","Documento personal"
"Qué información divulga el profesor Van Helsing al grupo sobre los orígenes del Conde Drácula?","El profesor Van Helsing revela informaciones sobre la historia del Conde Drácula, incluida su origen como un poderoso vampiro.",{"context":"Los documentos están en orden. El grupo se reúne para preparar su plan de batalla contra el Conde Drácula."}
"Qué revelaciones sobre la existencia de los vampiros hace el profesor Van Helsing?","El profesor Van Helsing admite que hay seres llamados vampiros y presenta pruebas históricas de su existencia.","Existen vampiros"
"Qué habilidades posee el Conde Drácula como vampiro?","El Conde Drácula es un poderoso vampiro que puede aparecer y desaparecer a voluntad, controlar los elementos naturales y dirigir a animales dañinos.","Poderes del vampiro"
"Qué peligros enfrentará la tropa?","La tropa enfrentará peligros como seres nefandos y el temor de convertirse en ellos.","Peligro/Riesgo"
"Qué sensación Jonathan obtiene al sentir la mano del profesor?","Jonathan se infunde vida y resolución cuando siente el contacto de la mano del profesor.","Emoción/Sensación"
"¿Qué se entienden entre los dos hombres sin necesidad de palabras?","Los dos hombres comparten un compromiso mutuo para enfrentar el peligro, no necesitando hablar para entenderse.","Entendimiento/Comprendimiento"
"Qué significa el gesto del profesor al extender sus manos para ser tomadas?","El gesto del profesor es una forma de solidaridad entre los hombres en la lucha contra el vampiro.","Gestos/Símbolos"
"Qué argumentos presenta el profesor para justificar a la tropa en su lucha contra el vampiro?","El profesor hace hincapié en los poderes de la comunidad, el libre albedrío y la devoción a una causa como ventajas que les son negadas a los vampiros.","Ventajas/Argumentos"
"Qué información proviene el profesor sobre el origen del vampiro y su existencia en diversas partes del mundo?","El profesor presenta información de la antigua Grecia a China, donde se ha mantenido una creencia en los vampiros.","Historia/Origen"
"¿Cuáles son algunas de las creencias justificadas sobre el vampiro después del ataque que se ha producido?","Se justifica que el vampiro sigue vivo y no puede morir a simplemente por el paso del tiempo, que puede rejuvenecerse y fortalecerse con suficiente sangre humana, pero carece de alimentación regular y no proyecta sombra ni se refleja.","Creencias justificadas"
"Qué tipo de ser es Drácula?","Drácula es un vampiro que puede transformarse en lobo y viajar bajo forma de niebla.","Tipo ser"
"¿Cómo llega Drácula a Londres?","Drácula llega a Londres en el barco Deméter, bajo la apariencia de un capataz.","Llegada"
"Qué leyes naturales debe Drácula seguir?","Drácula está sujeto a las leyes naturales de la luz y el día. No puede entrar en un lugar hasta que haya alguien que lo invita o el sol ha salido del horizonte, y sus poderes cesan a mediodía.","Leyes naturales"
"¿Qué eventos pueden desencadenar el cambio de forma de Drácula?","Drácula puede transformarse al mediodía o en el preciso momento del amanecer o puesta del sol.","Cambio forma"
"¿Qué elementos naturales pueden impedir a Drácula la entrada en una casa?","La rama de rosal silvestre que se coloca sobre el ataúd de Drácula y las balas consagradas disparadas al interior del mismo lo impiden entrar, pero no le impiden transformarse.","Impedimentos naturales"
"Qué conocimiento puede ofrecer el amigo de Jonathan Harker sobre Drácula?","El amigo del narrador Arminius es profesor en Budapest y le proporciona información histórica acerca de Drácula, descubre que este era el Voivod de Transilvania y un sabio, valiente guerrero contra los turcos.","Informaciones sobre Drácula"
"Qué familias surgieron de la familia Drácula?","Las familias que surgieron de la familia Drácula fueron las de los grandes hombres y mujeres, y sus tumbas consagraron la tierra donde solo ese ser maligno puede morar.","Familias"
"Qué planes debemos hacer para enfrentarnos a Drácula?","Los planes iniciales de los personajes son averiguar si el resto de las cajas con tierra permanecen en la casa y seguirlas, si lo han sido.","Plan acción"
"Qué ocurre con el murciélago en la habitación?","Un gran murciélago se posa en el pretil de la ventana y el señor Morris lo intenta disparar.","Murciélago"
"Qué deciden hacer para proteger a Mina?","Deciden separarla de ellos para protegerla, ya que creen que el Drácula puede volver en forma humana.","Protección"
"¿Cómo reaccionan todos los hombres contra el tema de proteger a Mina?","Los hombres están decididos a separarla de ellos para protegerla y entrar en la casa del Conde Drácula.","Reacción hombres"
"Qué sucede con Renfield?","Renfield quiere comunicarse con Mina sobre algo de gran importancia y se acapara. El enfermero le advierte que puede volver a actuar violentamente si no la ve pronto.","Estado Renfield"
"¿Qué ocurre con Renfield?","Renfield ha sido despertado del sueño por sus amigos. Pide ser dejado salir del asilo y acompañarlos en su misión contra el Conde Drácula.","Estado Renfield"
"Qué ocurre con Renfield en la casa?","Renfield pide ser dejado salir del asilo para ayudar a sus amigos y se presenta a ellos.","Estado Renfield"
"¿Cuál es el estado actual del señor Morris?","El señor Morris goza de un gran estado y su recepción en la Unión puede ser un acontecimiento importante para una posible alianza entre las regiones Polos y Trópicos.","Estado del personaje"
"¿Qué aprecia el narrador sobre van Helsing?","El narrador admira el trabajo revolucionario de van Helsing en la terapéutica.","Personas"
"¿Cómo se refieren los personajes a Jonathan Harker?","Los personajes lo ven como un caballero cuerdo y digno de confianza.","Recepción hacia el personaje principal"
"Qué siente Van Helsing sobre su libertad y su cordura?","Van Helsing se sentía satisfecho con la libertad y la recuperación de su cordura.","Sentimientos hacia sí mismo"
"¿Qué desea Van Helsing?","Van Helsing desea abandonar el asilo y viajar a Transilvania para enfrentarse al Conde Drácula.","Deseos/Motivación"
"¿Qué alternativa propone Van Helsing?","Van Helsing propone que le permita abandonar el asilo y viaje a Transilvania, justificando su petición con razones humanitarias.","Propuestas/Negociaciones"
"Qué le pregunta Van Helsing a Renfield?","Van Helsing le pide a Renfield que le dé sus razones para querer abandonar el asilo esa misma noche.","Pedido/Negociaciones"
"¿Qué argumenta Van Helsing ante Renfield?","Van Helsings argumenta que Renfield debe ayudar a los demás en el asilo a tomar decisiones razonables, ya que no ha sido dado su alta médica y tiene defectos mentales.","Razones/Argumentos"
"Qué cambios se producen al final del escenario entre el paciente y Seward?","Al final del escenario, el paciente nuevamente intenta atacar a los presentes pero se calma después de ver que la confianza se restablece entre ellos.","Cambio/Emoción"
"Qué última petición hace el paciente para salir de la casa?","El paciente pide que le dejen salir de la casa, y le ofrezcan guardias y cadenas para controlarlo.","Petición/Salida"
"Qué petición final hace el paciente para escapar de la casa?","El paciente pide que le déjan salir, argumentando que está cuerdo y está luchando por la salvación de su alma.","Salida/Petición"
"Qué relación se establece entre el paciente y Seward antes de salir de la habitación?","El paciente pide a Seward que haga todo lo posible por convencerlo esa noche y desea esperar en consideración futura.","Relación/Paciente-Seward"
"¿Qué opinan Morris y otros sobre el papel de Renfield como actor?","Morris y los demás creen que Renfield estaba representando una escena con un fin serio y consideran cruel su falta de oportunidades.","Opinión/Renfield"
"¿Qué miedos tienen Morris y el doctor Seward al liberar a Renfield?","Se preocupan de que si Renfield es un lunático, pueden confiar en él y hacer algo indebido que sirva a los planes diabólicos del conde.","Miedo/Liberación"
"¿Qué puede esperarse del profesor Van Helsing?","El Profesor Van Helsing es una figura autoritaria y dedicada a ayudar a sus amigos en la lucha contra el mal. Él es una persona de fe fuerte, siempre dispuesto a proteger a los débiles.","Personaje"
"¿Qué tipo de amenaza representa Drácula para los hombres?","Drácula no solo posee una fuerza sobrehumana, sino también tiene habilidades sobrenaturales que los hacen vulnerables, por lo que es importante mantenerse alertos y tener dispositivos de defensa en caso de ser atacados.","Amenaza"
"Qué objeto protege el profesor Van Helsing del Conde Drácula?","El profesor Van Helsing distribuye un trozo de la Sagrada Hostia entre sus amigos para que les sirva como protección contra el mal.","Objeto de defensa"
"¿Qué elemento es clave para que los hombres puedan entrar a la casa de Drácula sin ser descubiertos?","El profesor Van Helsing distribuye entre sus compañeros una llave maestra para poder abrir el paso hacia adentro, evitando entrar por las ventanas.","Llave"
"¿Qué aspecto tiene la casa del Conde Drácula?","La casa del Conde Drácula está llena de polvo y huellas de tachuelas, lo cual demuestra que nadie ha vivido allí hace algún tiempo. Los muros están cubiertos de musgo y son evidentemente un lugar maloliento y antiguo.","Aspecto"
